WP, 05, 2025062712,   , BEST,   0, 133N, 1416E, 15, 1007, DB,
WP, 05, 2025071112,   , BEST,   0, 210N, 1135E,  15,  996, DB,  
WP, 05, 2025071118,   , BEST,   0, 205N, 1131E,  15,  996, DB,
WP, 05, 2025071200,   , BEST,   0, 200N, 1127E,  15,  1002, DB,
WP, 05, 2025071206,   , BEST,   0, 200N, 1133E,  20,  1000, DB,
WP, 05, 2025071212,   , BEST,   0, 202N, 1141E,  20,  1000, DB,
WP, 05, 2025071218,   , BEST,   0, 203N, 1149E,  25,  999, TD,
WP, 05, 2025071300,   , BEST,   0, 205N, 1156E,  25,  999, TD,
WP, 05, 2025071306,   , BEST,   0, 207N, 1167E,  30,  998, TD,
WP, 05, 2025071312,   , BEST,   0, 207N, 1173E,  35,  998, TS,
WP, 05, 2025071318,   , BEST,   0, 207N, 1179E,  45,  994, TS,
WP, 05, 2025071400,   , BEST,   0, 209N, 1185E,  55,  992, TS,
WP, 05, 2025071406,   , BEST,   0, 212N, 1194E,  65,  982, TY,
WP, 05, 2025071412,   , BEST,   0, 216N, 1200E,  70,  978, TY,
WP, 05, 2025071418,   , BEST,   0, 220N, 1207E,  85,  970, TY,
WP, 05, 2025071500,   , BEST,   0, 224N, 1213E,  75,  967, TY,
WP, 05, 2025071506,   , BEST,   0, 230N, 1219E,  70,  970, TY,
WP, 05, 2025071512,   , BEST,   0, 238N, 1225E,  65,  982, TY,
WP, 05, 2025071518,   , BEST,   0, 240N, 1229E,  50,  988, TS,
WP, 05, 2025071600,   , BEST,   0, 243N, 1236E,  45,  989, TS,
WP, 05, 2025071606,   , BEST,   0, 246N, 1244E,  35,  993, TS,
WP, 05, 2025071612,   , BEST,   0, 246N, 1250E,  25,  1000, TD,
WP, 05, 2025071618,   , BEST,   0, 250N, 1258E,  25,  1003, TD,
WP, 05, 2025071700,   , BEST,   0, 257N, 1264E,  25,  1003, DB,
WP, 05, 2025071706,   , BEST,   0, 263N, 1273E,  25,  1005, DB,
WP, 05, 2025071712,   , BEST,   0, 268N, 1279E,  15,  1005, DB,
